title,link,text,fund_name,action,target,stock_name,date
"Buy Coforge, target price Rs 4725: ICICI Direct",https://economictimes.indiatimes.com/markets/stocks/recos/buy-coforge-target-price-rs-4725-icici-direct/articleshow/99833103.cms,"Coforge, incorporated in the year 1992, is a Mid Cap company (having a market cap of Rs 25681.01 Crore) operating in IT Software sector.",ICICI Direct,Buy,4725,Coforge,2023-04-28
"Hold IIFL Securities, target price Rs 65: ICICI Direct",https://economictimes.indiatimes.com/markets/stocks/recos/hold-iifl-securities-target-price-rs-65-icici-direct/articleshow/99832756.cms,"Promoters held 31.14 per cent stake in the company as of 31-Mar-2023, while FIIs owned 16.48 per cent, DIIs 3.2 per cent.",ICICI Direct,Hold,65,IIFL Securities,2023-04-28
"Buy Mahindra & Mahindra, target price Rs 1665.: ICICI Direct",https://economictimes.indiatimes.com/markets/stocks/recos/buy-mahindra-amp-mahindra-target-price-rs-1665-icici-direct/articleshow/99810643.cms,"The company is focused on prudent capital allocation, UV differentiation & EV proactiveness.",ICICI Direct,Buy,1665.,Mahindra & Mahindra,2023-04-27
"Hold Bajaj Auto, target price Rs 4530: ICICI Direct",https://economictimes.indiatimes.com/markets/stocks/recos/hold-bajaj-auto-target-price-rs-4530-icici-direct/articleshow/99810406.cms,"Bajaj Auto, incorporated in the year 2007, is a Large Cap company (having a market cap of Rs 123416.10 Crore) operating in Auto sector.",ICICI Direct,Hold,4530,Bajaj Auto,2023-04-27
"Buy Maruti Suzuki India, target price Rs 10214: HDFC Securities",https://economictimes.indiatimes.com/markets/stocks/recos/buy-maruti-suzuki-india-target-price-rs-10214-hdfc-securities/articleshow/99810148.cms,"Maruti Suzuki India, incorporated in the year 1981, is a Large Cap company (having a market cap of Rs 257381.27 Crore) operating in Auto sector.",HDFC Securities,Buy,10214,Maruti Suzuki India,2023-04-27
"Buy IndusInd Bank, target price Rs 1450: Motilal Oswal Financial Services",https://economictimes.indiatimes.com/markets/stocks/recos/buy-indusind-bank-target-price-rs-1450-motilal-oswal-financial-services/articleshow/99750272.cms,"Promoters held 16.5 per cent stake in the company as of 31-Mar-2023, while FIIs owned 42.16 per cent, DIIs 26.38 per cent.",Motilal Oswal Financial Services,Buy,1450,IndusInd Bank,2023-04-25
"Buy IndusInd Bank, target price Rs 1375: JM Financial",https://economictimes.indiatimes.com/markets/stocks/recos/buy-indusind-bank-target-price-rs-1375-jm-financial/articleshow/99749603.cms,"IndusInd Bank, incorporated in the year 1994, is a banking company (having a market cap of Rs 85503.65 Crore).",JM Financial,Buy,1375,IndusInd Bank,2023-04-25
"Buy Samvardhana Motherson International, target price Rs 100: JM Financial",https://economictimes.indiatimes.com/markets/stocks/recos/buy-samvardhana-motherson-internationa-target-price-rs-100-jm-financial/articleshow/99749312.cms,The brokerage reiterates BUY with Mar’24 TP of INR 100 (18x FY25e EPS). Global slowdown and continued inflationary pressure are the key risk,JM Financial,Buy,100,Samvardhana Motherson International,2023-04-25
"Buy IndusInd Bank, target price Rs 1322: LKP Securities",https://economictimes.indiatimes.com/markets/stocks/recos/buy-indusind-bank-target-price-rs-1322-lkp-securities/articleshow/99748843.cms,"IndusInd Bank, incorporated in the year 1994, is a banking company (having a market cap of Rs 85503.65 Crore).",LKP Securities,Buy,1322,IndusInd Bank,2023-04-25
"Buy Bank of Baroda, target price Rs 182.3 : ICICI Direct",https://economictimes.indiatimes.com/markets/stocks/recos/buy-bank-of-baroda-target-price-rs-182-3-icici-direct/articleshow/99748705.cms,"Bank of Baroda, incorporated in the year 1911, is a banking company (having a market cap of Rs 94687.64 Crore).",ICICI Direct,Buy,,Bank of Baroda,2023-04-25
"Buy Larsen & Toubro, target price Rs 2253: ICICI Direct",https://economictimes.indiatimes.com/markets/stocks/recos/buy-larsen-amp-toubro-target-price-rs-2253-icici-direct/articleshow/99748445.cms,"Larsen & Toubro, incorporated in the year 1946, is a Large Cap company (having a market cap of Rs 313267.93 Crore) operating in Construction sector.",ICICI Direct,Buy,2253,Larsen & Toubro,2023-04-25
"Buy Aditya Birla Capital, target price Rs 168: ICICI Securities",https://economictimes.indiatimes.com/markets/stocks/recos/buy-aditya-birla-capital-target-price-rs-168-icici-securities/articleshow/99748193.cms,"Aditya Birla Capital, incorporated in the year 2007, is a Large Cap company (having a market cap of Rs 38881.34 Crore) operating in NBFC sector.",ICICI Securities,Buy,168,Aditya Birla Capital,2023-04-25
"Buy Dr. Reddy's Laboratories, target price Rs 4980: ICICI Securities",https://economictimes.indiatimes.com/markets/stocks/recos/buy-dr-reddys-laboratories-target-price-rs-4980-icici-securities/articleshow/99748056.cms,"Promoters held 26.7 per cent stake in the company as of 31-Mar-2023, while FIIs owned 27.25 per cent, DIIs 23.03 per cent.",ICICI Securities,Buy,4980,Dr. Reddy's Laboratories,2023-04-25
"Buy Titan Company, target price Rs 2730: ICICI Securities",https://economictimes.indiatimes.com/markets/stocks/recos/buy-titan-company-target-price-rs-2730-icici-securities/articleshow/99748003.cms,"Titan Company, incorporated in the year 1984, is a Large Cap company (having a market cap of Rs 233447.81 Crore) operating in Gems and Jewellery sector.",ICICI Securities,Buy,2730,Titan Company,2023-04-25
"Buy IndusInd Bank, target price Rs 1360: BNP Paribas Securities",https://economictimes.indiatimes.com/markets/stocks/recos/buy-indusind-bank-target-price-rs-1360-bnp-paribas-securities/articleshow/99726237.cms,"The key upside risk to the brokerage's call is a full cyclical reversal and high growth sentiment in its core CV, MFI businesses that may accelerate earnings momentum.",BNP Paribas Securities,Buy,1360,IndusInd Bank,2023-04-24
"Buy Axis Bank, target price Rs 1140: BNP Paribas Securities",https://economictimes.indiatimes.com/markets/stocks/recos/buy-axis-bank-target-price-rs-1140-bnp-paribas-securities/articleshow/99726073.cms,"A protracted high interest-rate cycle is a greater risk to the bank than to large private peers, in terms of potential market share loss in prime credit.",BNP Paribas Securities,Buy,1140,Axis Bank,2023-04-24
"Buy ICICI Bank, target price Rs 1130: BNP Paribas Securities",https://economictimes.indiatimes.com/markets/stocks/recos/buy-icici-bank-target-price-rs-1130-bnp-paribas-securities/articleshow/99725916.cms,"ICICI Bank, incorporated in the year 1994, is a banking company (having a market cap of Rs 626253.83 Crore).",BNP Paribas Securities,Buy,1130,ICICI Bank,2023-04-24
"Buy HDFC Bank, target price Rs 2180: BNP Paribas Securities",https://economictimes.indiatimes.com/markets/stocks/recos/buy-hdfc-bank-target-price-rs-2180-bnp-paribas-securities/articleshow/99725667.cms,"HDFC Bank, incorporated in the year 1994, is a banking company (having a market cap of Rs 935890.26 Crore).",BNP Paribas Securities,Buy,2180,HDFC Bank,2023-04-24
"Buy Aarti Industries, target price Rs 563.9 : ICICI Direct",https://economictimes.indiatimes.com/markets/stocks/recos/buy-aarti-industries-target-price-rs-563-9-icici-direct/articleshow/99724289.cms,"Aarti Industries, incorporated in the year 1984, is a Mid Cap company (having a market cap of Rs 20041.04 Crore) operating in Pharmaceuticals sector.",ICICI Direct,Buy,,Aarti Industries,2023-04-24
"Buy Kotak Mahindra Bank, target price Rs 1912.7: ICICI Direct",https://economictimes.indiatimes.com/markets/stocks/recos/buy-kotak-mahindra-bank-target-price-rs-1912-7-icici-direct/articleshow/99724078.cms,"Kotak Mahindra Bank, incorporated in the year 1985, is a banking company (having a market cap of Rs 373780.55 Crore).",ICICI Direct,Buy,1912.7,Kotak Mahindra Bank,2023-04-24
"Buy ICICI Bank, target price Rs 1058: LKP Securities",https://economictimes.indiatimes.com/markets/stocks/recos/buy-icici-bank-target-price-rs-1058-lkp-securities/articleshow/99723754.cms,"ICICI Bank, incorporated in the year 1994, is a banking company (having a market cap of Rs 625555.55 Crore).",LKP Securities,Buy,1058,ICICI Bank,2023-04-24
"Buy Navin Fluorine International, target price Rs 5080: JM Financial",https://economictimes.indiatimes.com/markets/stocks/recos/buy-navin-fluorine-international-target-price-rs-5080-jm-financial/articleshow/99723513.cms,"Navin Fluorine International, incorporated in the year 1998, is a Mid Cap company (having a market cap of Rs 23391.64 Crore) operating in Chemicals sector.",JM Financial,Buy,5080,Navin Fluorine International,2023-04-24
"Buy HDFC Bank, target price Rs 1840: JM Financial",https://economictimes.indiatimes.com/markets/stocks/recos/buy-hdfc-bank-target-price-rs-1840-jm-financial/articleshow/99723106.cms,"Promoters held 25.59 per cent stake in the company as of 31-Mar-2023, while FIIs owned 32.24 per cent, DIIs 28.03 per cent.",JM Financial,Buy,1840,HDFC Bank,2023-04-24
"Buy Hindustan Zinc, target price Rs 335: JM Financial",https://economictimes.indiatimes.com/markets/stocks/recos/buy-hindustan-zinc-target-price-rs-335-jm-financial/articleshow/99722317.cms,"Hindustan Zinc key Products/Revenue Segments include Scrap, Export Incentives, Wind Energy and Other Operating Revenue for the year ending 31-Mar-2022.",JM Financial,Buy,335,Hindustan Zinc,2023-04-24
"Buy ICICI Bank, target price Rs 1115: JM Financial",https://economictimes.indiatimes.com/markets/stocks/recos/buy-icici-bank-target-price-rs-1115-jm-financial/articleshow/99721989.cms,"Promoters held 0 per cent stake in the company as of 31-Mar-2023, while FIIs owned 44.16 per cent, DIIs 44.99 per cent.",JM Financial,Buy,1115,ICICI Bank,2023-04-24
"Buy Reliance Industries, target price Rs 2900: JM Financial",https://economictimes.indiatimes.com/markets/stocks/recos/buy-reliance-industries-target-price-rs-2900-jm-financial/articleshow/99721175.cms,"The brokerage reiterated BUY (unchanged TP of Rs 2,900) given RIL’s industry leading capabilities across businesses and expectation of robust 13-14% EPS CAGR over the next 3-5 years.",JM Financial,Buy,2900,Reliance Industries,2023-04-24
"Buy Poonawalla Fincorp, target price Rs 332: Nuvama Wealth",https://economictimes.indiatimes.com/markets/stocks/recos/buy-poonawalla-fincorp-target-price-rs-332-nuvama-wealthnbsp/articleshow/99720374.cms,"Poonawalla Fincorp, incorporated in the year 1978, is a Small Cap company (having a market cap of Rs 23821.73 Crore) operating in NBFC sector.",Nuvama Wealth,Buy,332,Poonawalla Fincorp,2023-04-24
"Buy Balrampur Chini Mills, target price Rs 445: Nuvama Wealth",https://economictimes.indiatimes.com/markets/stocks/recos/buy-balrampur-chini-mills-target-price-rs-445-nuvama-wealthnbsp/articleshow/99720294.cms,Registered its highest ever weekly close in a year indicating bullish momentum.,Nuvama Wealth,Buy,445,Balrampur Chini Mills,2023-04-24
"Buy Relaxo Footwears, target price Rs 930: Sharekhan by BNP Paribas",https://economictimes.indiatimes.com/markets/stocks/recos/buy-relaxo-footwears-target-price-rs-930-sharekhan-by-bnp-paribas/articleshow/99662629.cms,"Relaxo Footwears, incorporated in the year 1984, is a Mid Cap company (having a market cap of Rs 20536.40 Crore) operating in Leather sector.",Sharekhan by BNP Paribas,Buy,930,Relaxo Footwears,2023-04-21
"Hold Tata Power Company, target price Rs 220: JM Financial",https://economictimes.indiatimes.com/markets/stocks/recos/hold-tata-power-company-target-price-rs-220-jm-financial/articleshow/99660849.cms,"Tata Power Company, incorporated in the year 1919, is a Mid Cap company (having a market cap of Rs 62596.70 Crore) operating in Power sector.",JM Financial,Hold,220,Tata Power Company,2023-04-21
"Buy NTPC Ltd., target price Rs 205: JM Financial",https://economictimes.indiatimes.com/markets/stocks/recos/buy-ntpc-ltd-target-price-rs-205-jm-financial/articleshow/99660153.cms,"NTPC, incorporated in the year 1975, is a Large Cap company (having a market cap of Rs 163728.21 Crore) operating in Power sector.",JM Financial,Buy,205,NTPC Ltd.,2023-04-21
"Buy ICICI Prudential Life Insurance Company, target price Rs 600: JM Financial",https://economictimes.indiatimes.com/markets/stocks/recos/buy-icici-prudential-life-insurance-company-target-price-rs-600-jm-financial/articleshow/99659520.cms,"ICICI Prudential Life Insurance Company, incorporated in the year 2000, is a Large Cap company (having a market cap of Rs 64145.90 Crore) operating in Financial Services sector.",JM Financial,Buy,600,ICICI Prudential Life Insurance Company,2023-04-21
"Buy Cyient, target price Rs 1360: Motilal Oswal Financial Services",https://economictimes.indiatimes.com/markets/stocks/recos/buy-cyient-target-price-rs-1360-motilal-oswal-financial-services/articleshow/99659074.cms,"Cyient, incorporated in the year 1991, is a Mid Cap company (having a market cap of Rs 12737.69 Crore) operating in IT Software sector.",Motilal Oswal Financial Services,Buy,1360,Cyient,2023-04-21
"Buy ICICI Prudential Life Insurance Company, target price Rs 550: Motilal Oswal Financial Services",https://economictimes.indiatimes.com/markets/stocks/recos/buy-icici-prudential-life-insurance-company-target-price-rs-550-motilal-oswal-financial-services/articleshow/99658720.cms,"ICICI Prudential Life Insurance Company, incorporated in the year 2000, is a Large Cap company (having a market cap of Rs 64145.90 Crore) operating in Financial Services sector.",Motilal Oswal Financial Services,Buy,550,ICICI Prudential Life Insurance Company,2023-04-21
"Hold Mastek, target price Rs 1880: ICICI Direct",https://economictimes.indiatimes.com/markets/stocks/recos/hold-mastek-target-price-rs-1880-icici-direct/articleshow/99658181.cms,The brokerage expects revenues to grow at 12.8% CAGR in FY23-25E.,ICICI Direct,Hold,1880,Mastek,2023-04-21
"Hold HCL Technologies, target price Rs 1065: ICICI Securities",https://economictimes.indiatimes.com/markets/stocks/recos/hold-hcl-technologies-target-price-rs-1065-icici-securities/articleshow/99657995.cms,"HCL Technologies, incorporated in the year 1991, is a Large Cap company (having a market cap of Rs 286617.31 Crore) operating in IT Software sector.",ICICI Securities,Hold,1065,HCL Technologies,2023-04-21
"Buy Tata Communications, target price Rs 1510: ICICI Securities",https://economictimes.indiatimes.com/markets/stocks/recos/buy-tata-communications-target-price-rs-1510-icici-securities/articleshow/99657136.cms,The brokerage believes strong revenue growth will eventually drive operating leverage and margin improvement.,ICICI Securities,Buy,1510,Tata Communications,2023-04-21
"Buy Prestige Estates Projects, target price Rs 530: ICICI Securities",https://economictimes.indiatimes.com/markets/stocks/recos/buy-prestige-estates-projects-target-price-rs-530-icici-securities/articleshow/99656935.cms,"Prestige Estates Projects, incorporated in the year 1997, is a Mid Cap company (having a market cap of Rs 18064.83 Crore) operating in Real Estate sector.",ICICI Securities,Buy,530,Prestige Estates Projects,2023-04-21
"Buy Tech Mahindra, target price Rs 1050: Kotak Securities",https://economictimes.indiatimes.com/markets/stocks/recos/buy-tech-mahindra-target-price-rs-1050-kotak-securitiesnbsp/articleshow/99656676.cms,"Tech Mahindra, incorporated in the year 1986, is a Large Cap company (having a market cap of Rs 99538.39 Crore) operating in IT Software sector.",Kotak Securities,Buy,1050,Tech Mahindra,2023-04-21
"Buy Bajaj Auto, target price Rs 4450: Kotak Securities Limited",https://economictimes.indiatimes.com/markets/stocks/recos/buy-bajaj-auto-target-price-rs-4450-kotak-securities-limited/articleshow/99656421.cms,"Bajaj Auto, incorporated in the year 2007, is a Large Cap company (having a market cap of Rs 121999.89 Crore) operating in Auto sector.",Kotak Securities Limited,Buy,4450,Bajaj Auto,2023-04-21
"Buy Tata Steel, target price Rs 112: Kotak Securities Limited",https://economictimes.indiatimes.com/markets/stocks/recos/buy-tata-steel-target-price-rs-112-kotak-securities-limited/articleshow/99656094.cms,"Tata Steel, incorporated in the year 1907, is a Large Cap company (having a market cap of Rs 132013.30 Crore) operating in Metals - Ferrous sector.",Kotak Securities Limited,Buy,112,Tata Steel,2023-04-21
"Buy Axis Bank, target price Rs 895: Kotak Securities",https://economictimes.indiatimes.com/markets/stocks/recos/buy-axis-bank-target-price-rs-895-kotak-securities-limited/articleshow/99655846.cms,"Axis Bank, incorporated in the year 1993, is a banking company (having a market cap of Rs 267301.52 Crore).",Kotak Securities,Buy,895,Axis Bank,2023-04-21
"Add Indian Oil Corporation, target price Rs 87: HDFC Securities",https://economictimes.indiatimes.com/markets/stocks/recos/add-indian-oil-corporation-target-price-rs-87-hdfc-securities/articleshow/99634619.cms,"The average Brent price is down ~8% QoQ and ~18% YoY to USD 81.4/bbl in Q4, implying an improvement in petrol/diesel marketing margins for the OMCs during the quarter.",HDFC Securities,Add,87,Indian Oil Corporation,2023-04-20
"Add Reliance Industries, target price Rs 2674.: HDFC Securities",https://economictimes.indiatimes.com/markets/stocks/recos/add-reliance-industries-target-price-rs-2674-hdfc-securities/articleshow/99634475.cms,"Reliance Industries, incorporated in the year 1973, is a Large Cap company (having a market cap of Rs 1585644.53 Crore) operating in Diversified sector.",HDFC Securities,Add,2674.,Reliance Industries,2023-04-20
"Hold Mastek, target price Rs 1740: Sharekhan by BNP Paribas",https://economictimes.indiatimes.com/markets/stocks/recos/hold-mastek-target-price-rs-1740-sharekhan-by-bnp-paribas/articleshow/99634154.cms,"Mastek, incorporated in the year 1982, is a Small Cap company (having a market cap of Rs 5488.36 Crore) operating in IT Software sector.",Sharekhan by BNP Paribas,Hold,1740,Mastek,2023-04-20
"Buy Schaeffler India, target price Rs 3328: Sharekhan by BNP Paribas",https://economictimes.indiatimes.com/markets/stocks/recos/buy-schaeffler-india-target-price-rs-3328-sharekhan-by-bnp-paribas/articleshow/99634002.cms,"Schaeffler India, incorporated in the year 1962, is a Mid Cap company (having a market cap of Rs 43316.44 Crore) operating in Industrial Consumables sector.",Sharekhan by BNP Paribas,Buy,3328,Schaeffler India,2023-04-20
"Buy Safari Industries (India), target price Rs 2750: Anand Rathi",https://economictimes.indiatimes.com/markets/stocks/recos/buy-safari-industries-india-target-price-rs-2750-anand-rathi/articleshow/99633218.cms,"Safari Industries (India), incorporated in the year 1980, is a Small Cap company (having a market cap of Rs 1296.01 Crore) operating in Plastics sector.",Anand Rathi,Buy,2750,Safari Industries (India),2023-04-20
"Buy VIP Industries, target price Rs 850: Anand Rathi",https://economictimes.indiatimes.com/markets/stocks/recos/buy-vip-industries-target-price-rs-850-anand-rathi/articleshow/99632918.cms,"VIP Industries, incorporated in the year 1968, is a Mid Cap company (having a market cap of Rs 8357.66 Crore) operating in Plastics sector.",Anand Rathi,Buy,850,VIP Industries,2023-04-20
"Buy One97 Communications, target price Rs 865: Motilal Oswal Financial Services",https://economictimes.indiatimes.com/markets/stocks/recos/buy-one97-communications-target-price-rs-865-motilal-oswal-financial-services/articleshow/99632234.cms,"One97 Communications, incorporated in the year 2000, is a Small Cap company (having a market cap of Rs 42117.03 Crore) operating in Services sector.",Motilal Oswal Financial Services,Buy,865,One97 Communications,2023-04-20
"Hold ICICI Lombard General Insurance Company, target price Rs 1250: ICICI Direct",https://economictimes.indiatimes.com/markets/stocks/recos/hold-icici-lombard-general-insurance-company-target-price-rs-1250-icici-direct/articleshow/99631349.cms,"ICICI Lombard General Insurance Company, incorporated in the year 2000, is a Large Cap company (having a market cap of Rs 53036.60 Crore) operating in Financial Services sector.",ICICI Direct,Hold,1250,ICICI Lombard General Insurance Company,2023-04-20
"Buy Ipca Laboratories, target price Rs 940: ICICI Direct",https://economictimes.indiatimes.com/markets/stocks/recos/buy-ipca-laboratories-target-price-rs-940-icici-direct/articleshow/99630750.cms,"Ipca Laboratories, incorporated in the year 1949, is a Mid Cap company (having a market cap of Rs 20933.14 Crore) operating in Pharmaceuticals sector.",ICICI Direct,Buy,940,Ipca Laboratories,2023-04-20
"Buy Aditya Birla Capital, target price Rs 164.4 : ICICI Direct",https://economictimes.indiatimes.com/markets/stocks/recos/buy-aditya-birla-capital-target-price-rs-164-4-icici-direct/articleshow/99630476.cms,"Aditya Birla Capital, incorporated in the year 2007, is a Large Cap company (having a market cap of Rs 39038.51 Crore) operating in NBFC sector.",ICICI Direct,Buy,,Aditya Birla Capital,2023-04-20
"Buy Sun Pharmaceutical Industries, target price Rs 1011.7 : ICICI Direct",https://economictimes.indiatimes.com/markets/stocks/recos/buy-sun-pharmaceutical-industries-target-price-rs-1011-7-icici-direct/articleshow/99630341.cms,Price taking support at 61.8% retracement of recent up move and 50 day EMA signaling positive bias.,ICICI Direct,Buy,,Sun Pharmaceutical Industries,2023-04-20
"Buy Triveni Engineering & Industries, target price Rs 298: IIFL",https://economictimes.indiatimes.com/markets/stocks/recos/buy-triveni-engineering-amp-industries-target-price-rs-298-iifl/articleshow/99629553.cms,The stock has given a consolidation breakout.,IIFL,Buy,298,Triveni Engineering & Industries,2023-04-20
"Buy Elgi Equipments, target price Rs 535: IIFL",https://economictimes.indiatimes.com/markets/stocks/recos/buy-elgi-equipments-target-price-rs-535-iifl/articleshow/99629321.cms,"Elgi Equipments, incorporated in the year 1960, is a Mid Cap company (having a market cap of Rs 16159.19 Crore) operating in Electric/Electronics sector.",IIFL,Buy,535,Elgi Equipments,2023-04-20
"Buy Bharat Petroleum Corporation, target price Rs 353: IIFL",https://economictimes.indiatimes.com/markets/stocks/recos/buy-bharat-petroleum-corporation-target-price-rs-353-iifl/articleshow/99629234.cms,The stock has given a breakout above its previous swing high.,IIFL,Buy,353,Bharat Petroleum Corporation,2023-04-20
"Buy Hero MotoCorp, target price Rs 2959: HDFC Securities",https://economictimes.indiatimes.com/markets/stocks/recos/buy-hero-motocorp-target-price-rs-2959-hdfc-securities/articleshow/99607113.cms,"Hero MotoCorp, incorporated in the year 1984, is a Large Cap company (having a market cap of Rs 48875.80 Crore) operating in Auto sector.",HDFC Securities,Buy,2959,Hero MotoCorp,2023-04-19
"Add Eicher Motors, target price Rs 3351: HDFC Securities",https://economictimes.indiatimes.com/markets/stocks/recos/add-eicher-motors-target-price-rs-3351-hdfc-securities/articleshow/99607006.cms,Its consolidated performance is also expected to be boosted by improved performance at VECV – volumes up 46% QoQ.,HDFC Securities,Add,3351,Eicher Motors,2023-04-19
"Reduce Bajaj Auto, target price Rs 3857: HDFC Securities",https://economictimes.indiatimes.com/markets/stocks/recos/reduce-bajaj-auto-target-price-rs-3857-hdfc-securities/articleshow/99606828.cms,"For Bajaj Auto (BAL), Q4 has been a relatively difficult quarter given: 1) 12% YoYdecline in volumes 2) sharp deterioration in exports mix to 40% of total from 44.7%in Q3FY23 and 60.2% in Q4FY22. The impact from this is likely to be partially offsetby improved domestic mix in favor of >125cc bikes and higher mix of 3Ws. Thecurrency (USD-INR) has largely remained stable.",HDFC Securities,Reduce,3857,Bajaj Auto,2023-04-19
"Add ITC, target price Rs 395: HDFC Securities",https://economictimes.indiatimes.com/markets/stocks/recos/add-itc-target-price-rs-395-hdfc-securities/articleshow/99605917.cms,"Promoters held 0 per cent stake in the company as of 31-Mar-2023, while FIIs owned 43.35 per cent, DIIs 31.15 per cent.",HDFC Securities,Add,395,ITC,2023-04-19
"Reduce Hindustan Unilever, target price Rs 2450: HDFC Securities",https://economictimes.indiatimes.com/markets/stocks/recos/reduce-hindustan-unilever-target-price-rs-2450-hdfc-securities/articleshow/99605694.cms,"Further, it models 26/11/8% YoY growth for Home Care, BPC and Food business.",HDFC Securities,Reduce,2450,Hindustan Unilever,2023-04-19
"Buy Angel One, target price Rs 1800: HDFC Securities",https://economictimes.indiatimes.com/markets/stocks/recos/buy-angel-one-target-price-rs-1800-hdfc-securities/articleshow/99605449.cms,"The brokerage maintains BUY rating with a revised target price of INR1,800 (15x Mar-25E EPS, rolling forward multiple from Sep-24E).",HDFC Securities,Buy,1800,Angel One,2023-04-19
"Buy Shriram Finance, target price Rs 1900: JM Financial",https://economictimes.indiatimes.com/markets/stocks/recos/buy-shriram-finance-target-price-rs-1900-jm-financial/articleshow/99605039.cms,"Shriram Finance, incorporated in the year 1979, is a Large Cap company (having a market cap of Rs 50663.75 Crore) operating in NBFC sector.JM Financial values SHF at 1.3x/8x FY25e P/BV and P/E to arrive at a target price of INR 1,900.",JM Financial,Buy,1900,Shriram Finance,2023-04-19
"Buy Devyani International, target price Rs 195.: JM Financial",https://economictimes.indiatimes.com/markets/stocks/recos/buy-devyani-international-target-price-rs-195-jm-financial/articleshow/99604236.cms,Valuation premium to peers is justified.,JM Financial,Buy,195.,Devyani International,2023-04-19
"Buy ICICI Lombard General Insurance Company, target price Rs 1400: Motilal Oswal Financial Services",https://economictimes.indiatimes.com/markets/stocks/recos/buy-icici-lombard-general-insurance-company-target-price-rs-1400-motilal-oswal-financial-services/articleshow/99602839.cms,"ICICI Lombard General Insurance Company, incorporated in the year 2000, is a Large Cap company (having a market cap of Rs 53478.06 Crore) operating in Financial Services sector.",Motilal Oswal Financial Services,Buy,1400,ICICI Lombard General Insurance Company,2023-04-19
